Colony,Synchrony,Rhythmicity,Period
C. bigenus1_A.csv,0.0590945540336315,0.110999270985552,0.10764490187529
C. bigenus1_B.csv,0.0590618390880634,0.0946294661847219,0.100436244820388
C. bigenus1_C.csv,0.0323061909289044,0.147384288718816,0.304465760304711
C. bigenus2_A.csv,0.120609570402054,0.222701659700961,0.230741898414518
C. bigenus2_B.csv,0.140529566440317,0.171778035019734,0.374841319853958
C. bigenus3_A.csv,0.0403854709490489,0.128895711456511,0.284076599157633
C. bigenus4_A.csv,0.0110297291353024,0.0680594170230474,0.174869659007472
C. bigenus4_B.csv,0.0430102705004878,0.115580227115188,0.215289803750579
M. bicolor1_A.csv,0.7215634344704,0.727145533387378,0.163159161072763
M. bicolor2_A.csv,0.187692735273272,0.391586584574123,0.187420659926979
M. bicolor3_A.csv,0.160405660025328,0.383921474743063,0.174869659007472
M. bicolor4_A.csv,0.523689067153672,0.540707363257291,0.265052839137649
M. bicolor4_B.csv,0.194470329277281,0.307735785334829,0.200872489640775
M. bicolor4_C.csv,0.123980923811609,0.162396699549349,0.230741898414518
M. bicolor4_D.csv,0.149704418947153,0.144005049385835,0.284076599157633
M. bicolor5_A.csv,0.390504919745914,0.548891150651031,0.152232880152356
M. bicolor6_A.csv,0.376038818037386,0.52107849976465,0.163159161072763
M. bicolor7_A.csv,0.246807622575727,0.211837012552466,0.215289803750579
M. luctuosa1_A.csv,0.108796152279649,0.145852756564064,0.401744979281551
M. luctuosa1_B.csv,0.0815672005719996,0.171901940505154,0.349739318014944
M. luctuosa2_A.csv,0.13097019971343,0.253830796521163,0.284076599157633
M. luctuosa3_A.csv,0.167936714675378,0.157395291677446,0.200872489640775
M. luctuosa3_B.csv,0.237667220450412,0.183118972299238,0.284076599157633
M. luctuosa4_A.csv,0.131280598741844,0.0976255875979638,0.247303043415925
M. luctuosa4_B.csv,0.432746676483034,0.396714788107985,0.200872489640775
M. luctuosa4_C.csv,0.12577251775831,0.109782558563617,0.187420659926979
M. luctuosa4_D.csv,0.163348305618513,0.0985924176751049,0.187420659926979
M. luctuosa5_A.csv,0.115889973417832,0.203919752226787,0.174869659007472
M. luctuosa5_B.csv,0.0700738262915415,0.120936830702579,0.461483796829035
M. luctuosa5_C.csv,0.062172179534369,0.111377861625045,0.247303043415925
M. luctuosa6_A.csv,0.182795748609582,0.187685423870766,0.215289803750579
M. luctuosa7_A.csv,0.31957527288496,0.28048398915229,0.326318322145526
M. luctuosa8_A.csv,0.249272469738723,0.295258220877656,0.430579607501159
O. haddoni1_A.csv,0.406705679636841,0.705080113854375,0.152232880152356
O. haddoni1_B.csv,0.363046285938599,0.533882824886809,0.142038299578817
O. haddoni1_C.csv,0.270648168633633,0.442759288004979,0.142038299578817
O. haddoni2_A.csv,0.519341350658376,0.442254453480735,0.230741898414518
O. haddoni2_B.csv,0.438839791199155,0.647972402215963,0.187420659926979
O. haddoni2_C.csv,0.331340785288797,0.666697293823249,0.200872489640775
O. haddoni3_A.csv,0.340370292814182,0.644913114287675,0.247303043415925
O. haddoni3_B.csv,0.360268560062501,0.30644236677731,0.187420659926979
O. haddoni4_A.csv,0.246024144859995,0.354711364318672,0.215289803750579
O. haddoni4_B.csv,0.372714168644602,0.45235199116192,0.187420659926979
O. haddoni4_C.csv,0.370716198000928,0.527621914141766,0.200872489640775
O. haddoni5_A.csv,0.410966229557709,0.482640813790074,0.247303043415925
O. haddoni5_B.csv,0.35231357282976,0.634438710132729,0.187420659926979
O. haddoni5_C.csv,0.406582335395803,0.720270467770974,0.230741898414518
O. major1_A.csv,0.183265220436428,0.182636381482547,0.230741898414518
O. major1_B.csv,0.124928925769122,0.293259130151745,0.247303043415925
O. major1_C.csv,0.863062761616454,1.16761469954479,0.215289803750579
O. major2_A.csv,0.198092707754018,0.231105747158985,0.215289803750579
O. major2_B.csv,0.182639921989056,0.359305388220257,0.230741898414518
O. major2_C.csv,0.223549463683988,0.255063556410045,0.215289803750579
O. major2_D.csv,0.494147991483183,0.587683687700159,0.230741898414518
O. major3_A.csv,0.32491847766715,0.788656376797672,0.187420659926979
O. major4_A.csv,0.886278015081661,1.18254973786556,0.187420659926979
O. major5_A.csv,0.593124595750086,0.723385622038734,0.200872489640775
O. major6_A.csv,0.69611313245053,0.972495729531702,0.215289803750579
O. major7_A.csv,0.551276147275422,1.00200473067498,0.174869659007472
P. aurea1_A.csv,0.0704948649944296,0.126340251820736,0.861159215002317
P. aurea1_B.csv,0.00793067939193263,0.0545420963143947,0.174869659007472
P. aurea1_C.csv,0.131465286148752,0.0611924929810961,0.115370949207259
P. aurea2_A.csv,0.217839490753591,0.403998325291938,0.530105678275298
P. aurea3_A.csv,0.149787571422577,0.234590426027193,0.608931520609423
P. aurea3_B.csv,0.0271853856231941,0.0776194275242476,0.100436244820388
P. aurea3_C.csv,0.0797883979779094,0.271199996318305,0.265052839137649
P. aurea4_A.csv,0.171720807794699,0.245030764087942,0.861159215002317
P. aurea5_A.csv,0.0442088564144358,0.0566074094635237,0.132526419568825
P. aurea5_B.csv,0.0766322544002841,0.0879494739828603,0.749682639707915
